n_trees,height,subsample_size,window_size,threshold_quantile,lead_time_roc_auc,precision_at_k,mttd,fpr
50,8,128,5000,0.97,0.0,0.0,,0.0336959336959337
50,8,128,5000,0.98,0.0,0.0,,0.023964923964923966
50,8,128,10000,0.97,0.0,0.0,,0.03922003922003922
50,8,128,10000,0.98,0.0,0.0,,0.027565027565027565
50,8,256,5000,0.97,0.0,0.0,,0.03253413253413254
50,8,256,5000,0.98,0.0,0.0,,0.023676323676323677
50,8,256,10000,0.97,0.0,0.0,,0.040563140563140566
50,8,256,10000,0.98,0.0,0.0,,0.02759092759092759
50,10,128,5000,0.97,0.0,0.0,,0.032870832870832874
50,10,128,5000,0.98,0.0,0.0,,0.023654123654123654
50,10,128,10000,0.97,0.0,0.0,,0.040925740925740924
50,10,128,10000,0.98,0.0,0.0,,0.028112628112628112
50,10,256,5000,0.97,0.0,0.0,,0.033292633292633295
50,10,256,5000,0.98,0.0,0.0,,0.02347282347282347
50,10,256,10000,0.97,0.0,0.0,,0.0407000407000407
50,10,256,10000,0.98,0.0,0.0,,0.027705627705627706
